epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7066246271133423,9.999999747378752e-06,1.6482911109924316,0.6710526347160339,1.1063522100448608
1,0.7760252356529236,9.999999747378752e-06,1.463685393333435,0.6578947305679321,1.1221259832382202
2,0.7066246271133423,9.999999747378752e-06,1.5707807540893555,0.6447368264198303,1.2027578353881836
3,0.7823343873023987,9.999999747378752e-06,1.397980809211731,0.7105262875556946,1.2294265031814575
4,0.7350157499313354,9.999999747378752e-06,1.529249906539917,0.7368420958518982,1.1518440246582031
5,0.7791798114776611,4.999999873689376e-06,1.5130822658538818,0.6973684430122375,1.232000470161438
6,0.7223974466323853,4.999999873689376e-06,1.5754176378250122,0.6710526347160339,1.2898085117340088
7,0.7444794774055481,4.999999873689376e-06,1.485830545425415,0.6184210777282715,1.3923468589782715
8,0.7570977807044983,4.999999873689376e-06,1.4998459815979004,0.7105262875556946,1.2836768627166748
9,0.7634069323539734,2.499999936844688e-06,1.5348126888275146,0.7105262875556946,1.331900715827942
10,0.7507886290550232,2.499999936844688e-06,1.626884937286377,0.7368420958518982,1.2637354135513306
11,0.7413249015808105,2.499999936844688e-06,1.4521386623382568,0.7894737124443054,1.2027332782745361
12,0.7570977807044983,2.499999936844688e-06,1.5054621696472168,0.6973684430122375,1.273484230041504
13,0.7476340532302856,1.249999968422344e-06,1.4615358114242554,0.6447368264198303,1.3881216049194336
14,0.7791798114776611,1.249999968422344e-06,1.4466431140899658,0.7368420958518982,1.3073291778564453
15,0.7917981147766113,1.249999968422344e-06,1.4503751993179321,0.75,1.250365138053894
16,0.7665615081787109,1.249999968422344e-06,1.3253121376037598,0.7368420958518982,1.269225835800171
17,0.7570977807044983,6.24999984211172e-07,1.441548466682434,0.75,1.3116726875305176
18,0.7634069323539734,6.24999984211172e-07,1.5246751308441162,0.75,1.212265968322754
19,0.7854889631271362,6.24999984211172e-07,1.676082730293274,0.7368420958518982,1.297906756401062
