epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.460567831993103,0.0010000000474974513,2.3216488361358643,0.42105263471603394,1.4515987634658813
1,0.6372239589691162,0.0010000000474974513,1.9710487127304077,0.5526315569877625,1.2731404304504395
2,0.7318611741065979,0.0010000000474974513,1.4668521881103516,0.6184210777282715,1.1469407081604004
3,0.7160883545875549,0.0010000000474974513,1.7092783451080322,0.7105262875556946,0.9925342202186584
4,0.7003154754638672,0.0010000000474974513,1.6397004127502441,0.75,1.0732303857803345
5,0.7507886290550232,0.0010000000474974513,1.5553251504898071,0.6710526347160339,1.1318269968032837
6,0.7255520224571228,0.0010000000474974513,1.5653223991394043,0.6578947305679321,1.1195491552352905
7,0.7665615081787109,0.0010000000474974513,1.472611427307129,0.6315789222717285,1.1602783203125
8,0.7823343873023987,0.0005000000237487257,1.3594013452529907,0.7236841917037964,1.0182644128799438
9,0.8201892971992493,0.0005000000237487257,1.1511486768722534,0.7105262875556946,1.1029069423675537
10,0.7981072664260864,0.0005000000237487257,1.2243304252624512,0.7105262875556946,0.9706069827079773
11,0.8170347213745117,0.0005000000237487257,1.0564137697219849,0.7236841917037964,0.9604553580284119
12,0.8044164180755615,0.0005000000237487257,1.190629243850708,0.7368420958518982,1.0324474573135376
